,player,expected win
0,451,2.729734446250071e-68
1,711,5.037658486951565e-64
2,218,9.126323521610968e-64
3,765,9.159765451749676e-64
4,230,9.208375959728319e-63
5,364,3.0631036574534642e-62
6,525,5.551183622601365e-62
7,307,1.1742188126654069e-61
8,234,7.733957294350597e-61
9,277,8.239994157321027e-61
10,894,8.454107079919354e-61
11,130,1.8004114877036253e-60
12,47,2.0051578787097977e-60
13,912,3.0459886894698367e-60
14,50,3.2793357193542255e-60
15,930,4.832180044685171e-60
16,337,8.808271758111811e-60
17,518,9.036064670510033e-60
18,916,2.0274590811012153e-59
19,311,4.478798279884011e-59
20,221,6.950907474549859e-59
21,895,7.540891041852176e-59
22,301,1.7093928920386826e-58
23,210,2.196221592816728e-58
24,381,2.210393229819934e-58
25,370,2.3059698432861015e-58
26,720,2.723414900409266e-58
27,810,4.0577361504624944e-58
28,513,4.781767515176655e-58
29,51,5.567504658056589e-58
30,265,6.63228607729788e-58
31,732,6.666159758750758e-58
32,686,6.682612650681278e-58
33,712,8.20183026308325e-58
34,16,1.4325873211719133e-57
35,356,1.643882124396099e-57
36,815,2.029425595490241e-57
37,189,2.862444169037056e-57
38,755,3.8805628446686706e-57
39,448,5.596235551750864e-57
40,136,8.103160536264817e-57
41,93,9.335065272638827e-57
42,769,1.03967015130158e-56
43,478,1.3628878065309949e-56
44,937,1.4125995592095775e-56
45,134,2.2797798219153406e-56
46,509,3.297239665837884e-56
47,303,4.239440834007942e-56
48,788,5.465684097975994e-56
49,786,7.381405847052708e-56
50,128,1.3794306453833802e-55
51,292,1.6048838349460845e-55
52,116,2.397842355233851e-55
53,276,3.3705747454983505e-55
54,165,4.804040599620917e-55
55,9,5.046915761104973e-55
56,495,6.408473011727796e-55
57,323,6.4934885465885185e-55
58,818,6.713274380388095e-55
59,896,6.779713659050098e-55
60,983,1.1604692650735227e-54
61,658,1.810475267951331e-54
62,558,2.1426972045870327e-54
63,56,2.2829762398514525e-54
64,827,2.5991528655477374e-54
65,272,2.677885688344422e-54
66,179,3.266676109826126e-54
67,208,4.000224370613746e-54
68,960,5.087518457478908e-54
69,606,5.216811096354455e-54
70,395,5.700677792602732e-54
71,819,6.307729813380512e-54
72,294,8.554554635495206e-54
73,30,1.4380276763453654e-53
74,123,1.456766728470987e-53
75,317,1.6786368388733903e-53
76,401,1.736796005872815e-53
77,213,2.191482219420868e-53
78,467,3.008596451221965e-53
79,780,3.8355033418841707e-53
80,333,4.0109175890639145e-53
81,153,4.08822456243093e-53
82,79,5.912703211720979e-53
83,405,7.349979992249247e-53
84,718,8.78687462088226e-53
85,406,9.438223493580646e-53
86,314,1.1820941544996456e-52
87,609,1.2293614099223017e-52
88,3,1.371870904487108e-52
89,181,1.6284148737219494e-52
90,624,1.940586547974495e-52
91,576,2.5129048144971772e-52
92,247,2.530747614787234e-52
93,517,2.644438964531014e-52
94,360,3.048451999854263e-52
95,913,4.069625250224154e-52
96,219,5.628507695699232e-52
97,784,5.8874064654259304e-52
98,72,7.044607288107464e-52
99,499,8.633862098399386e-52
100,117,8.848818215777206e-52
101,335,9.563863747045878e-52
102,802,1.2086869528293636e-51
103,494,3.0046757746762553e-51
104,115,3.4024510529063283e-51
105,907,3.848242423915097e-51
106,431,3.865126604163063e-51
107,358,4.5204100139854256e-51
108,890,4.58988461163977e-51
109,775,5.0083685332966077e-51
110,175,5.597419575210643e-51
111,142,6.039240371375436e-51
112,881,6.682735583504486e-51
113,675,7.643687441308558e-51
114,706,8.514771210460324e-51
115,357,1.0274816147251138e-50
116,347,1.33236802439894e-50
117,759,1.3400813288394604e-50
118,110,1.4020222299455563e-50
119,747,1.6557702872109128e-50
120,308,1.73607069613208e-50
121,141,2.1199765722232334e-50
122,200,2.4067817776953774e-50
123,708,3.29832308259473e-50
124,384,3.5063205017209646e-50
125,470,4.0037398389760883e-50
126,315,4.700657778454833e-50
127,112,5.199445486442655e-50
128,966,5.836714848984727e-50
129,67,6.3047919119540525e-50
130,24,6.846416208916332e-50
131,127,1.094823822311786e-49
132,727,1.3410156356668946e-49
133,750,2.3401435014546437e-49
134,283,2.382056329788214e-49
135,940,2.4468327126547153e-49
136,167,2.610393500757255e-49
137,801,2.6297508011651256e-49
138,336,2.9606474861332807e-49
139,152,3.1801185279279007e-49
140,342,3.5468305658040554e-49
141,579,3.566639773120076e-49
142,893,3.7052532972539044e-49
143,929,4.426224121764895e-49
144,209,4.996222263044892e-49
145,543,5.022136978779579e-49
146,488,5.8247760266831005e-49
147,479,5.8791853414928245e-49
148,45,6.276683126430713e-49
149,672,6.313643744971842e-49
150,139,8.06942640201509e-49
151,792,9.249324129791446e-49
152,198,9.808751562223493e-49
153,75,1.1221231589293888e-48
154,599,1.1328484852909698e-48
155,689,1.1825762627452504e-48
156,14,1.41581502216069e-48
157,968,1.545473772711688e-48
158,811,1.7233108297246603e-48
159,65,3.8774996024923805e-48
160,476,4.551201859898154e-48
161,829,5.169138030837494e-48
162,491,6.027741576388566e-48
163,422,6.163587714138579e-48
164,114,6.457801434130146e-48
165,471,7.187918112628788e-48
166,437,7.761896807011467e-48
167,742,8.656308375409155e-48
168,419,9.082871754103905e-48
169,685,9.388850344224739e-48
170,798,1.0887840389057261e-47
171,510,1.4569175441068307e-47
172,588,1.6927438724960203e-47
173,379,1.7310620176452507e-47
174,148,2.0832127147202995e-47
175,48,2.556881010094538e-47
176,539,2.896836613785834e-47
177,674,3.387390995672833e-47
178,203,4.1796132092721597e-47
179,748,4.851421689473264e-47
180,188,4.94715356058187e-47
181,195,5.095803034157227e-47
182,353,5.411096317476054e-47
183,417,6.178404947541404e-47
184,71,6.31307212245267e-47
185,807,8.814486632614954e-47
186,223,1.0025256614679479e-46
187,485,1.1807339212062566e-46
188,35,1.829645804648018e-46
189,463,2.0192463188793776e-46
190,169,3.3584545061737795e-46
191,923,3.8427941670232145e-46
192,105,3.902994966968301e-46
193,469,4.14158311620315e-46
194,433,4.4185316890020976e-46
195,18,5.156564962302348e-46
196,991,6.809729254591606e-46
197,949,8.032057460108098e-46
198,876,8.03754732109121e-46
199,981,8.47097648472791e-46
200,316,8.882075622481515e-46
201,511,1.2334392276947524e-45
202,193,1.3980477436606582e-45
203,664,1.789306559987272e-45
204,20,1.851524045889181e-45
205,980,2.2018160600958795e-45
206,872,2.381722538128825e-45
207,19,3.3288108628267596e-45
208,26,3.768770842548992e-45
209,553,3.9794088714928644e-45
210,232,4.4112899700883395e-45
211,843,4.741050204982304e-45
212,745,4.828216637666916e-45
213,719,5.323333948359472e-45
214,585,5.3420904654927054e-45
215,482,6.140090769449862e-45
216,158,6.207578713628088e-45
217,252,8.038895497976707e-45
218,866,8.172855796084626e-45
219,787,1.377623693013373e-44
220,94,1.631977693024984e-44
221,560,1.8552611827960353e-44
222,690,1.9387143226274313e-44
223,238,2.211180465688199e-44
224,375,2.263890639941014e-44
225,49,2.670894981535155e-44
226,858,3.022211946895066e-44
227,954,3.0815033491545185e-44
228,607,3.2732108622090333e-44
229,950,3.478839589023441e-44
230,109,4.760515917665127e-44
231,412,6.137954364155417e-44
232,578,6.461919522641362e-44
233,444,7.512072586217449e-44
234,551,8.280993673857525e-44
235,429,1.0896563456133656e-43
236,820,1.3596171571382083e-43
237,80,1.368361994341825e-43
238,481,1.4624935390185496e-43
239,215,1.4776923646158313e-43
240,443,1.8673268739955683e-43
241,425,1.946074879462905e-43
242,309,1.9748949068226467e-43
243,58,2.0971533455100614e-43
244,400,2.1569138206667186e-43
245,459,3.0035512046249087e-43
246,777,3.097919954437797e-43
247,575,3.2310229735611897e-43
248,480,4.051867958465385e-43
249,598,4.1892090792517844e-43
250,667,6.689902060478451e-43
251,383,8.418823130786986e-43
252,377,8.795929240124346e-43
253,304,9.686868675501746e-43
254,906,1.0251126265842119e-42
255,418,1.058901547097464e-42
256,468,1.1440271970009773e-42
257,363,1.4066257523932584e-42
258,376,1.4240246840553216e-42
259,620,2.0269879975468654e-42
260,883,2.2606828702236972e-42
261,867,2.949003167224362e-42
262,733,3.1968774626430166e-42
263,793,3.358589368053526e-42
264,10,3.524572159376545e-42
265,225,3.535576749438864e-42
266,205,3.667091388661816e-42
267,150,3.8727242223919285e-42
268,850,4.1026907739799276e-42
269,274,6.623237793249219e-42
270,677,7.460250646795376e-42
271,614,1.0926988067933268e-41
272,520,1.1994778713290015e-41
273,290,1.2413223162899505e-41
274,902,1.2947623268183072e-41
275,964,1.2977005201329218e-41
276,965,1.4293914639932757e-41
277,159,1.5644537868962637e-41
278,452,1.7607440184129222e-41
279,474,1.8088468409767522e-41
280,157,1.926541562007595e-41
281,639,2.3549899955888237e-41
282,952,3.106884579627216e-41
283,763,3.318590037887378e-41
284,454,3.345964756580509e-41
285,258,3.6788531076599293e-41
286,504,4.295043641661379e-41
287,458,5.934702100281892e-41
288,651,6.582555773973198e-41
289,447,7.133450186397702e-41
290,809,7.621109121438415e-41
291,78,8.535869731978782e-41
292,216,8.663624998358488e-41
293,682,9.375609503689542e-41
294,267,1.0175342511238273e-40
295,767,1.0241625395675699e-40
296,88,1.0247066242991634e-40
297,434,1.2626897281741698e-40
298,497,1.2898596461870518e-40
299,764,1.7016533259428143e-40
300,85,1.819509142005308e-40
301,662,1.873876346589866e-40
302,302,1.894288706886607e-40
303,783,2.004943875227428e-40
304,388,2.168918806407881e-40
305,879,2.5189031214218675e-40
306,321,2.556614932087814e-40
307,222,2.6110271129235864e-40
308,63,2.835203763488615e-40
309,873,2.9087972450960362e-40
310,972,4.781403942540511e-40
311,808,5.144684731933369e-40
312,149,5.83758652478261e-40
313,955,6.7356879890067366e-40
314,826,6.753359534420568e-40
315,101,6.771043228080156e-40
316,4,6.908892485305414e-40
317,789,7.623337683699537e-40
318,261,8.300866621173943e-40
319,596,8.872683802647652e-40
320,953,9.167906174636017e-40
321,312,1.1460825421615882e-39
322,438,1.1717500501641523e-39
323,621,1.2023000597325724e-39
324,522,1.3110616560540795e-39
325,350,1.389650849797218e-39
326,259,1.539397329049071e-39
327,365,1.8194325321593354e-39
328,465,1.8763976869681726e-39
329,650,1.9024435852412075e-39
330,931,1.920617534292875e-39
331,586,2.075218968147967e-39
332,766,2.3452012438071463e-39
333,768,2.471034927584324e-39
334,573,2.9094847810311044e-39
335,987,4.298090411274484e-39
336,147,4.363305951271261e-39
337,76,4.569528139297679e-39
338,694,5.010673769104697e-39
339,284,5.1819366347945096e-39
340,62,6.026525199430871e-39
341,710,6.027050347866199e-39
342,275,6.365351139291273e-39
343,751,6.732302697270955e-39
344,411,8.57146186953603e-39
345,530,9.223373467991643e-39
346,528,1.088198079800304e-38
347,204,1.200165780044165e-38
348,978,1.2019866762710254e-38
349,897,1.6677623212438037e-38
350,724,1.6749806594903393e-38
351,477,1.7082962518270058e-38
352,736,1.771000054367432e-38
353,186,1.8118162449432442e-38
354,57,2.103000874430858e-38
355,546,2.2420911856891923e-38
356,168,3.050814536895523e-38
357,646,3.277070974649731e-38
358,391,3.6952296156660164e-38
359,242,3.7679796412591726e-38
360,237,3.8538952254376977e-38
361,936,3.8625425950977983e-38
362,61,4.1131314982408234e-38
363,831,5.277345660893246e-38
364,296,6.074836322733854e-38
365,184,6.103420922341038e-38
366,587,6.609475626127704e-38
367,249,7.475224138412407e-38
368,781,8.395955935305785e-38
369,880,8.468729986465314e-38
370,984,8.869266039881503e-38
371,903,9.799686158371843e-38
372,684,1.037367224783715e-37
373,996,1.0797975685896102e-37
374,324,1.114090715223063e-37
375,378,1.2881352953587915e-37
376,611,1.5734471760121524e-37
377,832,1.668158114918321e-37
378,192,1.6958687268223775e-37
379,107,1.711285942031972e-37
380,908,2.153531568739017e-37
381,552,2.5291180632030416e-37
382,635,2.7770610805737606e-37
383,432,3.170068172595162e-37
384,507,3.187058867055524e-37
385,593,3.307104240761423e-37
386,956,3.3564565920754492e-37
387,986,3.4263689537443714e-37
388,319,3.5075581043039217e-37
389,944,3.5426113974345054e-37
390,352,3.98054404267302e-37
391,928,4.524855105457532e-37
392,266,5.035738911265719e-37
393,636,5.109944543388006e-37
394,901,5.6164995101956415e-37
395,734,6.332944468371312e-37
396,854,6.370076287716353e-37
397,435,7.039846682116037e-37
398,187,7.230274916356855e-37
399,679,8.097587854325747e-37
400,565,9.704764077653543e-37
401,939,1.118945133846415e-36
402,561,1.2767195384077432e-36
403,874,1.2904671829252387e-36
404,731,1.35644094257972e-36
405,870,1.5252680028820024e-36
406,327,1.543746284172195e-36
407,297,2.002750054591807e-36
408,533,2.1964902537341647e-36
409,537,2.2492971043939805e-36
410,121,2.5383296270276557e-36
411,920,3.0162486200452244e-36
412,318,3.073013060990813e-36
413,160,3.1766574578564524e-36
414,512,3.316429725042293e-36
415,389,3.499165842932562e-36
416,743,4.1673113937181156e-36
417,7,4.4254587051019416e-36
418,44,4.5469100142061213e-36
419,591,4.97400221262268e-36
420,993,5.14752917678047e-36
421,722,5.7768811907632145e-36
422,493,5.959110991500495e-36
423,174,5.989657814610087e-36
424,862,6.037559599365472e-36
425,795,6.287815779756369e-36
426,549,6.382113438415031e-36
427,87,6.918640276129218e-36
428,404,9.402851453585982e-36
429,455,1.0317030197639898e-35
430,601,1.3056944029197547e-35
431,654,1.6123107979846663e-35
432,393,1.6450699399255107e-35
433,999,1.7000427965416495e-35
434,498,1.7689419689126433e-35
435,217,1.9506634280392398e-35
436,508,2.0954835780878845e-35
437,852,2.114992933150941e-35
438,103,2.1394356143596468e-35
439,155,2.1479469062094126e-35
440,514,2.4018973362510184e-35
441,663,3.026834015664452e-35
442,756,3.2315379114324156e-35
443,403,3.280037871921051e-35
444,409,3.3065672259418213e-35
445,830,3.328602696111695e-35
446,354,3.5080105718919855e-35
447,619,3.617833138876105e-35
448,390,3.71210014690065e-35
449,531,3.7395856212446655e-35
450,120,3.975996043983473e-35
451,21,4.03972979297288e-35
452,396,4.460663307355417e-35
453,154,4.943827871064016e-35
454,698,5.389495142853728e-35
455,246,5.84420037968136e-35
456,567,6.079461504213261e-35
457,592,6.607879304653997e-35
458,421,8.037339151837975e-35
459,799,8.370542219836365e-35
460,516,9.138023853885955e-35
461,779,1.027300953546669e-34
462,757,1.263335968582468e-34
463,963,1.4754102139630964e-34
464,453,1.759112177909537e-34
465,921,1.8017674955680756e-34
466,254,1.8300542225261101e-34
467,642,1.9137404781655322e-34
468,282,2.078030442396802e-34
469,111,2.3291599102002394e-34
470,288,2.880712751028461e-34
471,740,3.435325765693881e-34
472,424,3.488319783492073e-34
473,536,4.017201865879205e-34
474,837,4.070594587909696e-34
475,257,4.455124413756086e-34
476,692,4.540873302140277e-34
477,177,4.934678908278074e-34
478,637,5.373267994061142e-34
479,42,5.5114866520620235e-34
480,741,5.5271681136874995e-34
481,207,7.053407734932034e-34
482,251,7.700858316100791e-34
483,817,7.87673616777805e-34
484,997,8.01726850507443e-34
485,816,9.067123765202055e-34
486,263,9.544665194293701e-34
487,373,1.0335684424487598e-33
488,992,1.1084365328383651e-33
489,341,1.2355403985173989e-33
490,669,1.3146099408397905e-33
491,806,1.3828530316504821e-33
492,571,1.3971593962975851e-33
493,224,1.4078378490931913e-33
494,53,1.4226437980228886e-33
495,281,1.692067339489298e-33
496,597,1.7921186651523006e-33
497,668,1.8683751231577893e-33
498,557,1.9710297643498993e-33
499,484,1.9996136661850126e-33
500,884,2.1509326267071907e-33
